Track,Album,Album Disc Number,Album Label,Album Track Number,Area,Dates,Holiday/Special Event,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
Fortuosity,Main Street USA BGM 2012 ,,,,Esplanade-Main Gates,"April 1, 2017",,Esplanade v.3,,,1:41,,13,"From the Main Street USA Area BGM, arranged and recorded by Dean Mora, which began playing at Disneyland in 2012."
You Can Fly! You Can Fly! You Can Fly!,Peter Pan's Flight Queue BGM ,,,,Esplanade-Main Gates,"April 1, 2017",,Esplanade v.3,,,1:24,,5,"While YCF! appeared in previous versions of the Esplanade loop, this track comes directly from the attraction’s Queue BGM instead of being a cover. The loop version begins with 4 seconds of string tremolo that isn’t present in the Queue BGM; you can hear this same tremolo at 4:51 and 5:40 and 6:45 in the “Fantasyland Darkride Suite” included on Disneyland Resort official albums since 2005."
Touring the Kingdom/Part of Your World,The Little Mermaid: Ariel's Undersea Adventure Queue BGM ,,,,Esplanade-Main Gates,"April 1, 2017",,Esplanade v.3,,,2:32,,4,"This is from the Queue BGM of The Little Mermaid: Ariel’s Undersea Adventure. The loop track actually starts at the very end of the loop (20:19.6 into the loop), just before the loop point. If you try to line up the Little Mermaid track from the 2013 Official Album, you’ll notice the start of that track (which is the start of the Queue loop) lines up with approximately 4.5 seconds into the loop track. The queue loop itself (which runs 20:24) does exist as source, but is not in general circulation. The loop track ends with a quick crossfade into You Can Fly! to hide a fast transition into Under the Sea, which is the next track in the Mermaid Queue BGM."
Indiana Jones Theme,,,,,Esplanade-Main Gates,"April 1, 2017",,Esplanade v.3,,,2:09,,6,Same as the previous version of the loop.
California Blues,Devil's Serenade ,,,,Esplanade-Main Gates,"April 1, 2017",,Esplanade v.3,,,3:08,Mora's Modern Rhythmists,27,This track is from the Buena Vista Street BGM.
Andy's Birthday,Toy Story OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2","This loop first played in the Esplanade during Pixar Fest in 2018 with a loop length of 00:53:50. Also plays at DCA's Paradise Gardens and its section of the parade route (with a playback time of 01:04:27.374, likely due to a different playback system). See MouseBits, https://mousebits.com/smf/index.php?topic=9747.msg91902#msg91902 (2018). This loop also appeared inside the Paradise Pier Hotel in the Summer of 2022, upon the announcement that the hotel would soon become the Pixar Place Hotel. Tracklist compiled by pixelated based on his 2022 reference recording (loop length 00:53:27.359).",00:53:27.359,00:00:14.553,Randy Newman,1,Edited 00:00-00:13
End Creditouilles,Ratatouille OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:02:24.075,Michael Giacchino,2,Edited 00:00-02:23
Up with End Credits,Up OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:01:29.066,Michael Giacchino,27,Edited 01:41-03:11
Colette Shows Him Le Ropes,Ratatouille,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:02:38.946,Michael Giacchino,33,
Up with Titles,Up OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:00:51.731,Michael Giacchino,9,
The Turtle Lope,Finding Nemo OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:00:45.094,Thomas Newman,25,Edited 01:11-02:04
Merida's Home,Brave OST ,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:01:25.332,Patrick Doyle,20,
Woody's a Star,Toy Story 2 OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:00:41.862,Randy Newman,6,Edited 00:43-01:27
Andy's Birthday,Toy Story OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:00:13.490,Randy Newman,21,Edited 00:00-00:13
The Flik Machine,A Bug's Life OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:02:48.116,Randy Newman,22,
72 Degrees and Sunny,WALL-E OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:00:52.991,Thomas Newman,18,Edited 00:00-00:42
The Glory Days,The Incredibles OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:01:30.928,Michael Giacchino,34,Edited 00:00-01:31
"Monsters, Inc.","Monsters, Inc. OST",,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:02:02.601,Randy Newman,7,
WALL-E,WALL-E OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:01:21.519,Thomas Newman,26,
Jessie and the Round Up Gang,Toy Story 2 OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:00:45.933,Randy Newman,13,Edited 00:00-00:47
First Day of School,Inside Out OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:00:54.319,Michael Giacchino,4,Edited 00:00-00:53
The Joy of Credits,Inside Out OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:02:41.813,Michael Giacchino,30,Edited 00:00-02:23
Field Trip,Finding Nemo OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:00:42.075,Thomas Newman,3,
The Cleaner,Toy Story 2 OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:01:45.091,Randy Newman,31,
McQueen and Sally,Cars OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:01:22.606,Randy Newman,36,
Migration Song,Finding Dory OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:00:32.727,Thomas Newman,10,
The Scare Floor,"Monsters, Inc. OST",,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:02:37.759,Randy Newman,32,
Fiesta Espectacular,Coco OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:00:50.620,Michael Giacchino,29,
It's Finn McMissile!,Cars 2 OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:01:22.411,Michael Giacchino,35,Edited 03:17-04:42
Opening Race,Cars OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:00:19.132,Randy Newman,5,Edited 00:00-00:27
Fiesta con de la Cruz,Coco OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:02:31.387,Michael Giacchino,14,
Gnarly Chop,Finding Dory OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:01:31.451,Thomas Newman,24,
Fish Who Wander,Finding Dory OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:01:17.451,Thomas Newman,15,
The Incredits,The Incredibles OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:04:36.695,Michael Giacchino,19,Edited 00:00-04:46
The Axiom,WALL-E OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:01:18.384,Thomas Newman,17,Edited 00:00-01:15
A Bug's Life Suite,A Bug's Life OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:01:23.983,Randy Newman,8,Edited 00:00-01:22
You've Got a Friend in Me [instrumental],Toy Story 2 OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:02:53.823,Tom Scott,16,
Plaza de la Cruz,Coco OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:00:19.133,Michael Giacchino,28,
Define Dancing,WALL-E OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:02:18.057,Thomas Newman,11,
Run With the Herd,The Good Dinosaur OST ,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:01:37.097,Mychael Danna,23,Edited 01:41-03:19
Ride Like the Wind,Toy Story 2 OST,,,,"Disney's Paradise Pier Hotel, Esplanade-Main Gates","April 13, 2018 → September 3, 2018",Pixar Fest,"Esplanade Pixar Fest v.1, Paradise Pier Hotel (interior) v.2",,,00:00:24.071,Randy Newman,12,Edited 00:56-01:20
Fanfare and Clock Parade (from it's a small world Holiday),A Musical History of Disneyland,,,,Esplanade-Main Gates,"November 1, 2005",Christmas,"Esplanade Holiday v.1 [REF], Esplanade Holiday v.3 [REF]","This loop plays in the esplanade during the holiday season. First heard in 2005 (https://community.magicmusic.net/threads/dl-christmas-esplenade-loop.2674/#post-17246), and heard nearly every season since. This loop did not play in 2012 (that year, the non-holiday loop played) or 2018 (see loop v.2). This loop played in the Downtown Disney District in the 2025 holiday season. Tracks in the loop sometimes play over the ending of the previous track, and thus the exact times of the tracks as heard in the loop may be slightly different. See Magic Music: https://community.magicmusic.net/threads/disneyland-esplanade-christmas-loop-2008.5245/ and MouseBits: 
https://mousebits.com/smf/index.php?topic=3783.msg25536#msg25536, and https://mousebits.com/smf/index.php?topic=3860.msg35358#msg35358. Edit samples are here: https://mousebits.com/smf/index.php?topic=6912.msg58199#msg58199. Tracklist compiled by C33 and CThaddeus, from reference recording by CThaddeus. The loop is still in use as of 2024.",00:31:58,1:28,,1,Edited to include 00:00 - 01:28
Holly Jolly Christmas,Winter Wonderland,,,,Esplanade-Main Gates,"November 1, 2005",Christmas,"Esplanade Holiday v.1 [REF], Esplanade Holiday v.3 [REF]",,,2:34,The Side Street Strutters,3,Possibly added in 2007
It's a Small World Holiday Medley,It's a Small World Holiday Official Soundtrack or A Musical History of Disneyland,,,,Esplanade-Main Gates,"November 1, 2005",Christmas,"Esplanade Holiday v.1 [REF], Esplanade Holiday v.3 [REF]",,,3:21,,2,"Edited (Based on AMHoD): 01:28 - 03:16, 13:32 - End. Not the same as the 1:55 medley track that has circulated. It is longer and features more of the It's a Small World Theme. A reconstruction of the medley can be made from the official ridethrough."
Santa Claus is Coming to Town,A Bayou Brass Christmas,,,,Esplanade-Main Gates,"November 1, 2005",Christmas,"Esplanade Holiday v.1 [REF], Esplanade Holiday v.3 [REF]",,,2:49,The Bayou Brass Band,4,
Haunted Mansion Holiday - Graveyard,the Haunted Mansion Holiday Official Soundtrack,,,,Esplanade-Main Gates,"November 1, 2005",Christmas,"Esplanade Holiday v.1 [REF], Esplanade Holiday v.3 [REF]",,,3:00,,5,Edited to include 11:22 - 14:23
Over the Graveyard,"Haunted Mansion Holiday (Soundtrack, 2002)",,,,Esplanade-Main Gates,"November 1, 2005",Christmas,"Esplanade Holiday v.1 [REF], Esplanade Holiday v.3 [REF]",,,1:27,,6,
A Christmas Fantasy Parade - Opening Unit,,,,,Esplanade-Main Gates,"November 1, 2005",Christmas,"Esplanade Holiday v.1 [REF], Esplanade Holiday v.3 [REF]",,,2:36,,8,
Two Step Medley,Cowboy Christmas,,,,Esplanade-Main Gates,"November 1, 2005",Christmas,"Esplanade Holiday v.1 [REF], Esplanade Holiday v.3 [REF]",,,1:54,Michael Martin Murphey,7,
Little Saint Nick,The Beach Boys' Christmas Album,,,,Esplanade-Main Gates,"November 1, 2005",Christmas,"Esplanade Holiday v.1 [REF], Esplanade Holiday v.3 [REF]",,,1:53,The Beach Boys,11,Fades into next track
Silver Bells,Christmas Time Is Here,,,,Esplanade-Main Gates,"November 1, 2005",Christmas,"Esplanade Holiday v.1 [REF], Esplanade Holiday v.3 [REF]",,,1:42,Gramercy Brass,10,
Sleigh Ride,Christmas in the 90's,,,,Esplanade-Main Gates,"November 1, 2005",Christmas,"Esplanade Holiday v.1 [REF], Esplanade Holiday v.3 [REF]",,,2:52,Arthur Fielder and the Boston Pops Orchestra,9,"Versions of the song can be found on several CDs and compilations, you want the one that runs 2:55."
Winter Wonderland,Ho! Ho! Hoey! II,,,,Esplanade-Main Gates,"November 1, 2005",Christmas,"Esplanade Holiday v.1 [REF], Esplanade Holiday v.3 [REF]",,,2:54,Gary Hoey,12,
Walt Disney's Parade of Dreams (Finale Unit),,,,,Esplanade-Main Gates,"November 1, 2005",Christmas,"Esplanade Holiday v.1 [REF], Esplanade Holiday v.3 [REF]",,,2:25,,14,
The Bells of Christmas,The Santa Clause OST,,,,Esplanade-Main Gates,"November 1, 2005",Christmas,"Esplanade Holiday v.1 [REF], Esplanade Holiday v.3 [REF]",,,1:08,,13,Edited to include 1:04-end. Likely added in 2007
The Boogie Man,"The Haunted Mansion: Haunted Hits ",,,,Esplanade-Main Gates,,Halloween,Esplanade Halloween,"This loop has played in the Esplanade during Halloween at least since 2021 (verified as of 2024). It appears to be reused from the Mickey’s Halloween Party park BGM used prior to the Halloween party rebranding to the Oogie Boogie Bash. Tracklist compiled by monorail91 with edits noted by SSrustworthy. See MouseBits, https://mousebits.com/smf/index.php?topic=8223.msg76518#msg76518 (2013) and https://mousebits.com/smf/index.php?topic=10816.msg98980#msg98980 (2022). ",00:55:47.741,00:02:48.332,The Jackson 5,1,"note, crossfade out at 2:47.153"
El Parian 3439/3,Destinos por Descubrir ANW 3439,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:02:49.578,"Juan Andres Matos, Lorena Perez-Batista",12,playback rate: 0.999976
Mirabel's Cumbia,Encanto OST,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:02:40.262,Germaine Franco,21,playback rate: 0.999993
La Chica Colombiana 2 1514/23,Latin - Colombia ANW 1514,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:02:42.992,"Tim Devine, Leonardo Ceballos Infante",4,playback rate: 1.000017
Salsa Sabrosa 1514/5,Latin - Colombia ANW 1514,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],"This loop played in the general Downtown Disney vicinity in the summer of 2022 to complement the Colombian silettas on display in the area. Verfied playlist compiled by pixelated, 08/2022. See Disney Parks Music Compendium, https://disney-parks-music-compendium.blogspot.com/2022/12/colombian-silletas-bgm.html and MouseBits, https://forums.mousebits.com/threads/downtown-disney-district-colombian-silletas.11168/ (2025).",00:57:56.707,00:02:43.831,"Tim Devine, Leonardo Ceballos Infante",1,Preceded by 0.422 sec. silent gap. playback rate: 1.000015
El Camino De Mirabel,Encanto OST,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:02:03.108,Germaine Franco,20,playback rate: 0.999987
Galerón Llanero,Paraiso Llanero - 20 Clásicas Instrumentales,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:02:09.869,Abdul Farfán,17,Loop track seems to fade to silence by 2:08.301 of the track. playback rate: 1.000017. Edited?
Mi Negra 2 3400/9,Tropical Colombia ANW 3400,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:04:30.267,"Pedro Elias Ojeda Acosta, Campbell E Browning, Pablo Love",9,Fade out starts at 4:28.999 of the track; track completely silent or removed 0:01.330 later. edited. playback rate: 1.000003
Fiesta de Cumbias 2 1514/6,Latin - Colombia ANW 1514,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:03:20.943,"Tim Devine, Leonardo Ceballos Infante",23,playback rate: 1.000013
We Don't Talk About Bruno (instrumental),Encanto OST,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:03:27.165,Lin-Manuel Miranda,18,playback rate: 1.000019
Happy Cumbia 3270/8,Latin Grooves ANW 3270,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:02:25.194,"Juan Carlos Rodriguez, Orlando Felice Rodriguez Di Pietro",8,Edited; Last 0:06.393 of file is faded out or removed. playback rate: 1.000016
Unknown,,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:00:58.972,,14,
Cumbia Mexico 2203/6,Fiesta Caliente ANW 2203,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:02:30.187,Juan Carlos Rodriguez; Iker Gastaminza,5,playback rate: 1.000017
"Colombia, Mi Encanto (Instrumental)",Encanto OST,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:02:48.120,Lin-Manuel Miranda,22,playback rate: 1.000016
Vallenato Colombia 2 2203/20,Fiesta Caliente ANW 2203,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:03:01.172,"Juan Carlos Rodriguez, Iker Gastaminza",6,playback rate: 0.999960
Spanish Cumbia 3270/6,Latin Grooves ANW 3270,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:02:29.810,"Juan Carlos Rodriguez, Orlando Felice Rodriguez Di Pietro",13,playback rate: 1.000018
La Caderona 2 1514/14,Latin - Colombia ANW 1514,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:03:18.782,"Tim Devine, Leonardo Ceballos Infante",3,playback rate: 1.000023
Tolú,Don Luis Eduardo Bermúdez Acosta,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:02:42.263,Lucho Bermúdez Y Su Orquesta,15,playback rate: 1.000048
El Baile Madrigal,Encanto OST,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:02:37.324,Germaine Franco,19,
Alma Llanera (Instrumental),Paraiso Llanero - 20 Clásicas Instrumentales,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:03:32.852,Abdul Farfán,16,playback rate: 0.999998
Sad Cumbia 3270/1,Latin Grooves ANW 3270,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:02:18.432,"Juan Carlos Rodriguez, Orlando Felice Rodriguez Di Pietro",7,playback rate: 1.000018
La Noche Morena 1514/4,Latin - Colombia ANW 1514,,,,Downtown Disney District,"June 16, 2022 → September 1, 2022",,DTDD Colombian Silletas [REF],,,00:02:45.586,"Tim Devine, Leonardo Ceballos Infante",2,playback rate: 1.000012
Christmas Time Is Here Again,I Wanna Be Santa Claus,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],"This loop played in the Downtown Disney District area from 2020 to present. Preliminary tracklist compiled by pixelated based on his 2020 reference recording. It was updated with a few additional tracks for the 2025 holiday season. See MouseBits, Re: https://mousebits.com/smf/index.php?topic=10875.msg99148#msg99148.",01:29:12.796,,Ringo Starr,1,
Winter Wonderland,Ho! Ho! Hoey II,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Gary Hoey,2,
I'm Gonna E-Mail Santa,Another Rosie Christmas,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Billy Gilman,3,
Spread a Little Love On Christmas Day,8 Days of Christmas,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Destiny's Child,4,
Rudolph The Red-Nosed Reindeer,I Wanna Be Santa Claus,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Ringo Starr,5,
Soulful Christmas,A Soulful Christmas,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,James Brown,6,
Frosty The Snowman,The Best of Ho! Ho! Hoey,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Gary Hoey,7,
Deck The Halls,Brand New Day,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,SHeDAISY,8,
Christmas (Baby Please Come Home),A Very Special Christmas,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,U2,9,
Jingle Bells,Merry Axemas [A Guitar Christmas],,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,The Brian Setzer Orchestra,10,
Sleigh Ride,Sleigh Ride [Remixes],,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,TLC,11,
It's A Good Thing Santa Ain't Single,A December to Remember,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Aaron Tippin,12,
The First Noel,Ho! Ho! Hoey 3,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Gary Hoey,13,
Santa Claus Is Coming To Town,My Hometown,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Bruce Springsteen,14,
Xtina's Xmas (Interlude),My Kind of Christmas,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Christina Aguilera,15,
Have Yourself A Merry Little Christmas,Ho! Ho! Hoey 3,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Gary Hoey,16,
Winter Wonderland,I Wanna Be Santa Claus,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Ringo Starr,17,
Run Rudolph Run,From Small Things: The Best of Dave Edmunds,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Dave Edmunds,18,
Santa's Got A Brand New Bag,Brand New Year,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,SHeDAISY,19,
What Christmas Means To Me,A Very Special Christmas 2,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Paul Young,20,
Let It Snow! Let It Snow! Let It Snow!,Ho! Ho! Hoey 3,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Gary Hoey,21,
Mama's Gettin' Ready For Christmas,A December to Remember,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Aaron Tippin,22,
A Present Just For Me,A Vibraphonic Christmas,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Vibraphonic,23,
Rock And Roll Christmas,The EMI Years,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,George Thorogood & The Destroyers,24,
The Christmas Song (Holiday Remix),My Kind of Christmas,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Christina Aguilera,25,
I Saw Mommy Kissing Santa Claus,Ho! Ho! Hoey: The Complete Collection,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Gary Hoey,26,
Merry Christmas Baby,A Christmas Celebration of Hope,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,B.B. King,27,
"Ay, Ay, Ay It's Christmas",Another Rosie Christmas,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,"Ricky Martin, Rosie O'Donnell",28,
Christmas All Over Again,A Very Special Christmas 2,,,,Downtown Disney District,,Christmas,DTDD Nighttime Holiday v.3 [PRE],,,,Tom Petty and the Heartbreakers,29,
A Night on Bald Mountain (Irwin Kostal Re-Record 1982),The Legacy Collection: Fantasia,,,,Esplanade-Main Gates,,Halloween,Esplanade Halloween,,,00:00:47.260,Irwin Kostal,2,"note, crossfade in at 0:00.430, fade out at 0:48.077"
"Grim, Grinning Ghosts",The Haunted Mansion (Original Motion Picture Soundtrack),,,,Esplanade-Main Gates,,Halloween,Esplanade Halloween,,,00:01:05.499,Singing Busts (The Dapper Dans),3,
Things That Go Bump in the Night,The Haunted Mansion: Haunted Hits,,,,Esplanade-Main Gates,,Halloween,Esplanade Halloween,,,00:03:38.274,JACK,4,"note, crossfade out at 3:38.430"
