Track,Album,Album Disc Number,Album Label,Album Track Number,Dates,Holiday/Special Event,Land,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
Yankee Doodle Boy (1904),Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,28,
The Band Played On (1895),Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,10,
"Fortuosity (written 1965, fictional date 1916)",Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,20,
"Kansas City (written 1943, fictional date 1906)",Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,27,
"Before the Parade Passes By (written 1964, fictional date early 1900's)",Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,12,
Alexander's Ragtime Band (1911),Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,11,
Meet Me in St. Louis (1904),Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,25,
Dearie (1950),Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,14,
"Married Life (written 2009, fictional date early 1900's)",Disneyland Resort Official Album (2013),,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,4,Also available on The Legacy Collection: Disneyland
"Goodbye, My Coney Island Baby (1924)",Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,13,
Sidewalks of New York (1894),Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,22,
Oh! You Drummer (1910),Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,21,
It's a Long Way To Tipperary (1912),Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,18,
Old Timers Waltz Medley (1917),Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,8,
"Oh, You Beautiful Doll (1911)",Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,7,
Maple Leaf Rag (1899),Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,3,
"Elegance (written 1964, fictional date early 1900's)",Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,26,
By the Light of the Silvery Moon (1909),Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,17,
Let Me Call You Sweetheart (1910),Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,5,
In the Good Old Summertime (1902),Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,19,
"Put On Your Sunday Clothes (written 1964, fictional date 1900)",Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,2,
Wait 'Till the Sun Shine Nellie (1905),Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,24,
Delerium Tremens Rag (1913),Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,15,
There'll Be a Hot Time In the Old Town Tonight (1896),Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,23,
Put on Your Old Grey Bonnet (1909),Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,9,
"Surrey With the Fringe On Top (written 1943, fictional date 1906)",Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,6,
"Hello, Ma Baby (1899)",Unreleased,,,,"January 9, 2012",,Main Street U.S.A.,Main Street U.S.A. v.4,,,,Dean Mora Orchestra,16,
Keystone Kapers or Custard's Last Stand,"Rides, Rapes & Rescues (Liberty LST 7185)",1,Liberty,1,,,Main Street U.S.A.,Main Street Cinema [REF],,,02:10.353,Hangnails Hennessey and Wingy Brubeck,2,Edited to remove spoken introduction; runs slightly faster than the source track (loop copied over from tape)
Madame Fifi's Can-Can or La Derriere de Ma Tante,"Rides, Rapes & Rescues (Liberty LST 7185)",2,Liberty,1,,,Main Street U.S.A.,Main Street Cinema [REF],"This loop plays at the Main Street Cinema. Five Mickey Mouse shorts play on separate screens without sound, whereas the sixth (Steamboat Willie) has sound that plays in competition with the loop. See MouseBits, https://mousebits.com/smf/index.php?topic=4217.msg29304#msg29304 (2009) and Disney Parks Music Compendium, https://disney-parks-music-compendium.blogspot.com/2022/11/main-street-cinema-bgm.html. The loop was probably compiled by Jack Wagner and installed in the 70’s. The vocal introductions were removed in 1983 when the Cinema switched to all Mickey Mouse shorts in 1983 (https://community.magicmusic.net/threads/main-street-cinema-dl-playlist-and-question.4125/#post-30547 and https://community.magicmusic.net/threads/dlrp-main-street-music-what-is-it.1890/#post-12735).",00:09:30.004,02:15.441,Hangnails Hennessey and Wingy Brubeck,1,Edited to remove spoken introduction; runs slightly faster than the source track (loop copied over from tape)
"Silents Please! ""The Pearls of Murine"" - Chapter 11 - ""Death or Dishonor”","Rides, Rapes & Rescues (Liberty LST 7185)",1,Liberty,2,,,Main Street U.S.A.,Main Street Cinema [REF],,,02:22.761,Hangnails Hennessey and Wingy Brubeck,3,Edited to remove spoken introduction; runs slightly faster than the source track (loop copied over from tape)
"A Mustache, A Derby, A Cane and A Cop","Rides, Rapes & Rescues (Liberty LST 7185)",1,Liberty,4,,,Main Street U.S.A.,Main Street Cinema [REF],,,02:41.477,Hangnails Hennessey and Wingy Brubeck,4,Edited to remove spoken introduction; runs slightly faster than the source track (loop copied over from tape)
Songe d'Automne,Salon to Swing,,Chandos,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],"Interior loop for the Plaza Inn since ca. 1992. See Disney Parks Music Compendium, https://disney-parks-music-compendium.blogspot.com/2022/12/plaza-inn-bgm-1992.html (2014) and MouseBits: https://mousebits.com/smf/index.php?topic=5938.msg46746#msg46746 (2010). Depending on the time of day (mostly morning) the loop is sometimes replaced by the Main Street BGM or a different BGM used for birthday parties. The loop plays in and outside of the restaurant as well as in the adjacent restrooms.",01:00:19,,Palm Court Theatre Orchestra,1,
Smiles,The Whistler and His Dog,,Newport Classics,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],,,,Paragon Ragtime Orchestra,13,
Tea for Two,"Tea Time Ensemble, Vol. 1",,Koch International Classics,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],,,,Tea Time Ensemble,11,
Wiener Praterleben,Serenata,,Philips Classics,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],,,,Maastricht Salon Orchestra,7,"Edited: 00:00 - 01:05, 01:40 - 03:29"
Serenade,Viveza in Palm Court Style,,Skylark,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],,,,Viveza,2,
Vale Musette & Charmain,"Tea Time Ensemble, Vol. 1",,Koch International Classics,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],,,,Tea Time Ensemble,10,
Waltz for Evelyn,Ragtime [Soundtrack],,Roadrunner Records,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],,,,Randy Newman,5,
Silver Birds,The Picnic Party,,Chandos,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],,,,Palm Court Theatre Orchestra,17,Edited: 00:44 - End
Marstastal,Viveza in Palm Court Style,,Skylark,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],,,,Viveza,9,
The Grasshopper's Dance,The Picnic Party,,Chandos,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],,,,Palm Court Theatre Orchestra,14,
Heinzelmannchens,Serenata,,Philips Classics,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],,,,Maastricht Salon Orchestra,8,Edited: 00:11 - End
Gnomenparade,"Tea Time Ensemble, Vol. 1",,Koch International Classics,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],,,,Tea Time Ensemble,15,
Old Ideas,Viveza in Palm Court Style,,Skylark,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],,,,Viveza,3,Edited: 01:04 - End
Fragrance,Salon to Swing,,Chandos,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],,,,Palm Court Theatre Orchestra,4,
In the Shadows,The Picnic Party,,Chandos,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],,,,Palm Court Theatre Orchestra,18,
Fanny Polka,Abendsterne,,Denon Records,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],,,,Biedermeier Ensemble Wien,16,
Liebesfreund,Passione Amorosa,,Harmonia Mundi,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],,,,Le Virtuose Romantique,6,
Drun't in der Lobau,"Tea Time Ensemble, Vol. 1",,Koch International Classics,,"January 1, 1992",,Main Street U.S.A.,Plaza Inn [REF],,,,Tea Time Ensemble,12,
Selections From Mary Poppins,Captain Lowell E. Graham Conducts National Symphonic Winds – Center Stage,,,,,,Main Street U.S.A.,Jolly Holiday Bakery Café,"A preliminary track list for the Disneyland Jolly Holiday Bakery Café, which opened in January 2012. Individual track lengths are measured from the start of that track to the start of the following track, so any gap between tracks is included in that time. See MouseBits, https://mousebits.com/smf/index.php?topic=7116.msg61477#msg61477 (2012). Additional information provided by VJ.",00:23:48.554,4:22.094,National Symphonic Winds,1,Preceded by a 0.9 second silent gap. May be edited; this is unverified.
Chim Chim Cher-ee (Instrumental),Disney's Karaoke Series: Mary Poppins,,,,,,Main Street U.S.A.,Jolly Holiday Bakery Café,,,1:10.041,,7,Edited.
A Spoonful of Sugar,Disney's Orchestra Collection Vol. 1,,,,,,Main Street U.S.A.,Jolly Holiday Bakery Café,,,3:29.606,Never Land Orchestra,3,
Let's Go Fly a Kite,Tokyo Disneyland/WDW Magic Kingdom main entrance BGM,,,,,,Main Street U.S.A.,Jolly Holiday Bakery Café,,,3:25.229,,2,
Mary Poppins Medley,Salute to Disney,,,,,,Main Street U.S.A.,Jolly Holiday Bakery Café,,,3:46.520,"Arthur Fiedler, Boston Pops Orchestra",5,"Preceded by a gap. The loop track starts at ~5:20 of the album track to reduce the medley to only ""Supercalifragilisticexpialidocious"" (#2) and ""Chim Chim Cher-ee"" (#3)."
Overture,Mary Poppins Original Soundtrack,,,,,,Main Street U.S.A.,Jolly Holiday Bakery Café,,,1:06.665,"Richard M. Sherman, Robert B. Sherman",6,Preceded by a gap. Edited to only include “A Spoonful of Sugar”
Jolly Holiday,Mary Poppins Original Soundtrack,,,,,,Main Street U.S.A.,Jolly Holiday Bakery Café,,,1:38.493,"Julie Andrews, Dick Van Dyke",8,Edited 2:52.9 to 4:31 (?)
Chim Chim Cher-ee,Disney's Orchestra Collection Vol. 2,,,4,,,Main Street U.S.A.,Jolly Holiday Bakery Café,,,2:36.595,Never Land Orchestra,4,Preceded by a gap. The loop track runs about 0.087 secs. faster than the album track.
Supercalifragilisticexpialidocious,"Disney’s Orchestra Collection, Vol. 3",,,,,,Main Street U.S.A.,Jolly Holiday Bakery Café,,,2:13.218,Never Land Orchestra,9,"Preceded by a gap. "
Original Rags,The Art of Scott Joplin,,,,,,Main Street U.S.A.,Emporium,"This ragtime loop played in the interior of the Disneyland Emporium. The loop plays very quietly and is usually difficult to hear in the store. It is the same loop as that of the Liberty and Discovery Arcades at Disneyland Paris. See MouseBits, https://mousebits.com/smf/index.php?topic=9144.msg89579#msg89579 and https://mousebits.com/smf/index.php?topic=9607.msg91501#msg91501 (2017). Most tracks overlap by a few seconds towards the end to remove any silent gaps. “The Red Back Book” is out of print, but was re-released digitally as “The Art of Scott Joplin.” Also see Magic Music, https://community.magicmusic.net/threads/new-dl-emporium-music.963/#post-6369 which suggests the loop’s installation as ca. 2003.",01:00:55,0.9992x album speed using the digital release.,Gunther Schuller & New England Ragtime Ensemble,1,Preceded by ~1 second of silence
Elite Syncopations,The Art of Scott Joplin,,,,,,Main Street U.S.A.,Emporium,,,0.9992x album speed using the digital release.,Gunther Schuller & New England Ragtime Ensemble,2,
Magnetic Rag,The Art of Scott Joplin,,,,,,Main Street U.S.A.,Emporium,,,0.9992x album speed using the digital release.,Gunther Schuller & New England Ragtime Ensemble,3,
Palm Leaf Rag — A Slow Drag,The Art of Scott Joplin,,,,,,Main Street U.S.A.,Emporium,,,0.9992x album speed using the digital release.,Gunther Schuller & New England Ragtime Ensemble,6,
Bethena — A Concert Waltz,The Art of Scott Joplin,,,,,,Main Street U.S.A.,Emporium,,,0.9992x album speed using the digital release.,Gunther Schuller & New England Ragtime Ensemble,5,
Wall Street Rag,The Art of Scott Joplin,,,,,,Main Street U.S.A.,Emporium,,,0.9992x album speed using the digital release.,Gunther Schuller & New England Ragtime Ensemble,4,
Scott Joplin's New Rag,The Art of Scott Joplin,,,,,,Main Street U.S.A.,Emporium,,,0.9992x album speed using the digital release.,Gunther Schuller & New England Ragtime Ensemble,11,
The Easy Winners,The Red Back Book,,,,,,Main Street U.S.A.,Emporium,,,,The New England Conservatory Ragtime Ensemble,7,
Maple Leaf Rag,The Red Back Book,,,,,,Main Street U.S.A.,Emporium,,,,The New England Conservatory Ragtime Ensemble,9,
The Cascades,The Red Back Book,,,,,,Main Street U.S.A.,Emporium,,,,The New England Conservatory Ragtime Ensemble,8,
Euphonic Sounds — A Syncopated Novelty,The Art of Scott Joplin,,,,,,Main Street U.S.A.,Emporium,,,0.9992x album speed using the digital release.,Gunther Schuller & New England Ragtime Ensemble,10,
Pine Apple Rag,The Art of Scott Joplin,,,,,,Main Street U.S.A.,Emporium,,,0.9992x album speed using the digital release.,Gunther Schuller & New England Ragtime Ensemble,15,
Peacherine Rag,The Art of Scott Joplin,,,,,,Main Street U.S.A.,Emporium,,,0.9992x album speed using the digital release.,Gunther Schuller & New England Ragtime Ensemble,13,
The Rag Time Dance,The Red Back Book,,,,,,Main Street U.S.A.,Emporium,,,,The New England Conservatory Ragtime Ensemble,16,
Sugar Cane,The Red Back Book,,,,,,Main Street U.S.A.,Emporium,,,,The New England Conservatory Ragtime Ensemble,12,
Sun Flower Slow Drag,The Red Back Book,,,,,,Main Street U.S.A.,Emporium,,,,The New England Conservatory Ragtime Ensemble,14,
The Christmas Tree,The David Rose Christmas Album,,Capitol,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,"This loop plays on Main Street, U.S.A. during the holiday season (November - January). Verified tracklist based on a reference recording by pixelated. MiceAge provides a nice analysis of all of the tracks: https://www.micechat.com/278726-holiday-special-disneylands-main-street-music-loop/ See MouseBits, https://mousebits.com/smf/index.php?topic=8247.msg75897#msg75897 (2013). Updated notes on high quality track re-releases posted by SSrustworthy on https://forums.mousebits.com/threads/disneyland-resort-christmas-loops-3-0.8247/post-100545https://forums.mousebits.com/threads/disneyland-resort-christmas-loops-3-0.8247/post-100545(2025). This loop has been known to play in the Storybook Canal Boats area and the Village Haus/Red Rose Taverne.",00:58:49,02:16.04,"David
  Rose",1,
Hark! The Herald Angels Sing,A Music Box Christmas,,Columbia,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,01:44.72,Rita Ford,12,Edited: Fade In
Carol of the Bells,The Music of Christmas,,Capitol,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,01:20.20,Hollywood Bowl Symphony Orchestra,21,
Jingle Bells,Merry Christmas,,Kapp/4 Corners of the World,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,02:14.47,Raymond Lefevre & His Orchestra,11,"Edited: Fade In, Fade Out"
Hark! The Herald Angels Sing,Silent Night and 13 Other Best Loved Christmas Songs,,Dot,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,01:56.03,Lawrence Welk & His Orchestra,28,
O Tannenbaum,A Music Box Christmas,,Columbia,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,01:25.61,Rita Ford,15,Edited: Fade Out
Lobe Den Herren,A Music Box Christmas,,Columbia,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,00:54.94,Rita Ford,30,
Rudolph the Red-Nosed Reindeer,Ed Sullivan Presents Music of Christmas,,Columbia,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,01:50.43,Ed Sullivan,8,
The Christmas Song,The David Rose Christmas Album,,Capitol,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,02:58.82,David Rose,9,Edited: Fade In
Petit Papa Noel (Little Father Christmas),The Christmas Album,,Kapp/4 Corners of the World,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,02:14.13,Paul Mauriat,16,"MiceAge reports there is some debate over whether Raymond Lefevre's version of ""Little Father Christmas"" was originally used in the loop. pixelated's recording indicates that the current version does use ""Petit Papa Noel"" found on Paul Mauriat album."
Jingle Bell Rock,The Christmas Songbook,,Capitol,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,02:26.76,Hollyridge Strings,17,
Ihr Kinderlein Kommet,Season's Greetings,,Liberty,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,02:13.28,Felix Slatkin,22,"This track is mislabeled on the album as ""I Heard the Bells on Christmas Day”"
The First Noel,Ed Sullivan Presents Music of Christmas,,Columbia,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,01:03.51,Ed Sullivan,20,
White Christmas,Silent Night and 13 Other Best Loved Christmas Songs,,Dot,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,02:12.16,Lawrence Welk & His Orchestra,24,
Toyland,The David Rose Christmas Album,,Capitol,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,01:30.13,David Rose,4,
Christmas Waltz,The David Rose Christmas Album,,Capitol,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,03:11.05,David Rose,19,
Deck the Halls,Silent Night and 13 Other Best Loved Christmas Songs,,Dot,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,01:04.76,Lawrence Welk & His Orchestra,29,
"Still, Still, Holy Melody",A Music Box Christmas,,Columbia,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,02:02.69,Rita Ford,27,Edited: Fades Out
"Caroling, Caroling","The Sound of Chritmas, Vol. 2",,Capitol,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,02:23.95,Hollywood Pops Orchestra,13,
I’ll Be Home for Christmas,Silent Night and 13 Other Best Loved Christmas Songs,,Dot,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,02:06.11,Lawrence Welk & His Orchestra,25,
Rudolph the Red-Nosed Reindeer,Silent Night and 13 Other Best Loved Christmas Songs,,Dot,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,02:01.71,Lawrence Welk & His Orchestra,26,
I’m Dreaming of a White Christmas,Ed Sullivan Presents Music of Christmas,,Columbia,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,02:21.45,Ed Sullivan,6,Edited: Fade in
Silver Bells,Merry Christmas,,Kapp/4 Corners of the World,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,02:10.20,Raymond Lefevre & His Orchestra,10,Edited: Fade In
Twelve Days of Christmas,The David Rose Christmas Album,,Capitol,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,01:23.48,David Rose,2,
Zu Bethlehem Geboren,A Music Box Christmas,,Columbia,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,00:52.11,Rita Ford,7,
The First Noel,A Music Box Christmas,,Columbia,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,02:08.29,Rita Ford,3,
Ihr Kinderlein Kommet,A Music Box Christmas,,Columbia,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,02:49.80,Rita Ford,23,
Deck the Halls,Season's Greetings,,Liberty,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,02:05.32,Felix Slatkin,14,
Do You Hear What I Hear?,Ed Sullivan Presents Music of Christmas,,Columbia,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,01:52.26,Ed Sullivan,5,Edited: 00:21 - End
Jingle Bells,A Music Box Christmas,,Columbia,,"November 1, 1972",Christmas,Main Street U.S.A.,Main Street U.S.A. Holiday,,,01:58.95],Rita Ford,18,
A Spoonful of Sugar,,,,,,,Main Street U.S.A.,Plaza Inn Character Breakfast v.1 [INC],"This loop played in and around the Plaza Inn as part of the Character Breakfasts. The tracklist was originally posted on http://web.archive.org/web/20070703011709/http://disneymusicloops.tripod.com/dlr/dlr-mainst-plazabreak.html (from before 2005) and MouseBits, https://mousebits.com/smf/index.php?topic=7994.msg71812#msg71812 (2013).",Unknown,,,1,
"Good Manners Announcement, ""Good Morning”",,,,,,,Main Street U.S.A.,Plaza Inn Character Breakfast v.1 [INC],,,,,2,
Bibbidi-Bobbidi-Boo,,,,,,,Main Street U.S.A.,Plaza Inn Character Breakfast v.1 [INC],,,,,4,
A Whole New World,,,,,,,Main Street U.S.A.,Plaza Inn Character Breakfast v.1 [INC],,,,,6,
Chim Chim Cheree,,,,,,,Main Street U.S.A.,Plaza Inn Character Breakfast v.1 [INC],,,,,9,
Once Upon a Dream,,,,,,,Main Street U.S.A.,Plaza Inn Character Breakfast v.1 [INC],,,,,3,
Unknown,,,,,,,Main Street U.S.A.,Plaza Inn Character Breakfast v.1 [INC],,,,,8,
Saddle Back,,,,,,,Main Street U.S.A.,Plaza Inn Character Breakfast v.1 [INC],,,,,5,This may have been played while a character skit was ongoing.
Beauty and the Beast,,,,,,,Main Street U.S.A.,Plaza Inn Character Breakfast v.1 [INC],,,,,10,
Whistle While You Work,,,,,,,Main Street U.S.A.,Plaza Inn Character Breakfast v.1 [INC],,,,,7,
You Can Fly! You Can Fly! You Can Fly!,Disney Strings Fantasy,,,,,,Main Street U.S.A.,Plaza Inn Minnie and Friends Breakfast in the Park v.1 [INC],"This loop played at the Plaza Inn during Minnie and Friends Breakfast in the Park, likely until ~2020 when the “Zip-a-dee-doo-dah” tracks were removed from BGMs around the resort. Heard in videos dating to at least 2007. See MouseBits, https://mousebits.com/smf/index.php?topic=7994.msg71851#msg71851 (2013).",Unknown,,,1,
March of the Cards,,,,,,,Main Street U.S.A.,Plaza Inn Minnie and Friends Breakfast in the Park v.1 [INC],,,,,,"Extended version of DLF track, found in Main Gates ‘92 loop"
Minnie's Yoo Hoo!,Unreleased,,,,,,Main Street U.S.A.,Plaza Inn Minnie and Friends Breakfast in the Park v.1 [INC],,,,,,"From a set of Japanese “Disney March” style tracks associated with WDW’s Magical Express, Goofy’s Kitchen, and DTDD’s Disney’s Wonderful World of Sweets."
Zip-A-Dee-Doo-Dah (Splash Mountain),Unreleased,,,,,,Main Street U.S.A.,Plaza Inn Minnie and Friends Breakfast in the Park v.1 [INC],,,,,,Esplanade/Main Gates Loop
My Oh My! What a Wonderful Day,Une Journee a Disneyland Paris,,,,,,Main Street U.S.A.,Plaza Inn Minnie and Friends Breakfast in the Park v.1 [INC],,,,,,
Songs from Winnie the Pooh (Album Version),Walt Disney World Band,,,,,,Main Street U.S.A.,Plaza Inn Minnie and Friends Breakfast in the Park v.1 [INC],,,,Walt Disney World Band,,
Mickey Mouse March,Unreleased,,,,,,Main Street U.S.A.,Plaza Inn Minnie and Friends Breakfast in the Park v.1 [INC],,,,,,"From a set of Japanese “Disney March” style tracks associated with WDW’s Magical Express, Goofy’s Kitchen, and DTDD’s Disney’s Wonderful World of Sweets."
Bibbidi-Bobbidi-Boo,Unreleased,,,,,,Main Street U.S.A.,Plaza Inn Minnie and Friends Breakfast in the Park v.1 [INC],,,,,,"From a set of Japanese “Disney March” style tracks associated with WDW’s Magical Express, Goofy’s Kitchen, and DTDD’s Disney’s Wonderful World of Sweets."
Some Day My Prince Will Come,Snow White and the Seven Dwarfs OST,,,,,,Main Street U.S.A.,The Storybook Store at Crystal Arcade [REF],"This loop plays in the Main Street, U.S.A Crystal Arcade in the department with signage reading “The Storybook Store”. Tracklist compiled by Karalora and wedroy1923 with notes from SSrustworthy based on a recording by pixelated. All tracks have vocals present. See MouseBits: https://mousebits.com/smf/index.php?topic=8015.msg72172#msg72172 (2013) and https://mousebits.com/smf/index.php?topic=7584.msg66612#msg66612 (2012), and https://forums.mousebits.com/threads/the-storybook-store-at-crystal-arcade.11140/. Also see Magic Music, https://community.magicmusic.net/threads/new-dl-emporium-music.963/#post-6369 which suggests the loop’s installation as predating 2003.",00:55:15.362,,,1,Edited to include 0:38.337 - end (omitting intro)
Finale,Sleeping Beauty OST,,,,,,Main Street U.S.A.,The Storybook Store at Crystal Arcade [REF],,,,,11,
Reception at the Palace / So This Is Love,Cinderella OST,,,,,,Main Street U.S.A.,The Storybook Store at Crystal Arcade [REF],,,,,9,Edited to include 2:38 to end
Bella Notte,Lady and the Tramp OST,,,,,,Main Street U.S.A.,The Storybook Store at Crystal Arcade [REF],,,,,4,Edited to include 1:40.535 - end (From just before Tony’s vocal to end)
Feed the Birds,Mary Poppins OST,,,,,,Main Street U.S.A.,The Storybook Store at Crystal Arcade [REF],,,,,10,
Little Wooden Head,Pinocchio OST,,,,,,Main Street U.S.A.,The Storybook Store at Crystal Arcade [REF],,,,,3,Edited to include 3:15.067 - 5:42.530
Perfect Nanny,Mary Poppins OST,,,,,,Main Street U.S.A.,The Storybook Store at Crystal Arcade [REF],,,,,17,
Looking for Romance,Bambi OST,,,,,,Main Street U.S.A.,The Storybook Store at Crystal Arcade [REF],,,,,22,
La La Lu,Lady and the Tramp OST,,,,,,Main Street U.S.A.,The Storybook Store at Crystal Arcade [REF],,,,,15,Edited to include 1:37.202 - end
Overture,Mary Poppins OST,,,,,,Main Street U.S.A.,The Storybook Store at Crystal Arcade [REF],,,,,26,
Main Title,Alice in Wonderland OST,,,,,,Main Street U.S.A.,The Storybook Store at Crystal Arcade [REF],,,,,16,Edited to include 0:00 - fade out over harp glissendo as next track starts
Main Title (The Second Star to the Right),Peter Pan OST,,,,,,Main Street U.S.A.,The Storybook Store at Crystal Arcade [REF],,,,,21,
The Siamese Cat Song,Lady and the Tramp OST,,,,,,Main Street U.S.A.,The Storybook Store at Crystal Arcade [REF],,,,,23,
In a World of My Own,Alice in Wonderland OST,,,,,,Main Street U.S.A.,The Storybook Store at Crystal Arcade [REF],,,,,25,"Edited to include 0:54.985 - "
