Track,Album,Album Disc Number,Album Label,Album Track Number,Dates,District/Neighborhood,Holiday/Special Event,Land,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
Movin’ Right Along, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,2,
Theme from Mission: Impossible,Theme From Mission: Impossible,,,,"February 8, 2001 → June 1, 2004",,,Hollywood Pictures Backlot,Hollywood Pictures Backlot v.1,,,," Adam Clayton, Larry Mullen",10,Starts at 00:01.114 in album track
I'm Gonna Always Love You, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,8,
"Hey, a Movie!", Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,6,
Together Again, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,5,
Axel F,Beverly Hills Cop: Music From the Motion Picture,,,,"February 8, 2001 → June 1, 2004",,,Hollywood Pictures Backlot,Hollywood Pictures Backlot v.1,,,,Harold Faltermeyer,7,
"Theme From ""Home Improvement"" (Iron John's Rock)",,,,,"February 8, 2001 → June 1, 2004",,,Hollywood Pictures Backlot,Hollywood Pictures Backlot v.1,,,,Dan Foliart,4,"The Disney Music Loops listing says that it is an extended version, but I haven't managed to track one down if it exists. The one clip that I have aligns with the regular version."
Medley of TV Adventure Themes,Bond & Beyond,,,,"February 8, 2001 → June 1, 2004",,,Hollywood Pictures Backlot,Hollywood Pictures Backlot v.1,,,,"Erich Kunzel, Cincinnati Pops Orchestra",9,Edited to include start--01:49.552 to isolate the Dragnet and Peter Gunn themes.
The Rainbow Connection, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,7,
Gone With The Wind (Tara's Theme),Aisle Seat,,,,"February 8, 2001 → June 1, 2004",,,Hollywood Pictures Backlot,Hollywood Pictures Backlot v.1,,,,John Williams and The Boston Pops,22,Next track starts at 04:37.046 in album track
Overture (from That's Entertainment!),That's Entertainment (The Ultimate Anthology of M-G-M Musicals),,,,"February 8, 2001 → June 1, 2004",,,Hollywood Pictures Backlot,Hollywood Pictures Backlot v.1,,,, MGM Studio Orchestra,21,Medley: That's Entertainment! / The Trolley Song / Somewhere Over the Rainbow / ?? / Singin' In the Rain / ??
Theme from The Pink Panther,The Pink Panther (Original Motion Picture Soundtrack),,,,"February 8, 2001 → June 1, 2004",,,Hollywood Pictures Backlot,Hollywood Pictures Backlot v.1,,,, Henry Mancini,11,
The James Bond Theme,The Ultimate John Barry,,,,"February 8, 2001 → June 1, 2004",,,Hollywood Pictures Backlot,Hollywood Pictures Backlot v.1,,,, John Barry Orchestra,8,"Edited to remove one guitar repetition of theme, unknown edit point but could be start--01:19, 01:32--end"
Theme from Superman (Concert Version),Superman: The Movie Original Motion Picture Soundtrack,,,,"February 8, 2001 → June 1, 2004",,,Hollywood Pictures Backlot,Hollywood Pictures Backlot v.1,,,, John Williams,18,"Next track starts at 04:20.653 in album track. Also, every copy of the track I've seen has a small blip at 00:23 in the left channel"
You've Got a Friend in Me [Score] (Instrumental),Toy Story 2 Cast and Crew Wrap Party Special Edition,,,,"February 8, 2001 → June 1, 2004",,,Hollywood Pictures Backlot,Hollywood Pictures Backlot v.1,,,,Randy Newman,15,
Main Title (Extended Version),Soundtrack From Thirtysomething,,,,"February 8, 2001 → June 1, 2004",,,Hollywood Pictures Backlot,Hollywood Pictures Backlot v.1,,,,"W.G. Snuffy Walden, Stewart Levin",5,
Steppin’ Out With a Star, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,13,
The Muppet Show Theme, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,12,
It's Not Easy Being Green, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,19,
I'm Always Gonna Love You, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,20,
Happiness Hotel ver. B, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,18,
Together Again, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,17,
It's Not Easy Being Green, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,10,
I Hope that Something Better Comes Along, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,14,
Mahna Mahna, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,22,
"Hey, a Movie!", Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,16,
The Muppet Show Theme, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,21,
The Rainbow Connection, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,15,
